# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
sheng1 wu1 xuo2 huo2 sing4 	生物學活性	c=1 d=0.198891 t=12045
sheng1 wu1 yin1 su4 	生物因素	c=1 d=0.852144 t=12045
sheng1 wu1 zhung1 	生物鐘	c=1 d=0.271173 t=12045
sheng1 yin1 	聲音	c=4 d=0.292293 t=12045
sheng1 zhang3 	生長	c=1 d=0.293758 t=12045
sheng3 hui4 	省會	c=1 d=0.167797 t=12045
sheng3 shy4 	省事	c=1 d=0.0165791 t=12045
sheng3 shy4 el2 	省事兒	c=1 d=0.0174224 t=12045
sheng3 sin1 	省心	c=1 d=0.204948 t=12045
sheng4 li4 zuo1 yung4 	勝利作用	c=-1 d=0 t=12045
sheng4 xa4 	剩下	c=2 d=0.843665 t=12045
sheo1 ciu3 	攝取	c=1 d=0.565525 t=12045
sheo1 ji4 li3 nian4 	設計理念	c=1 d=0.0788664 t=12045
sheo1 mi3 	奢靡	c=1 d=0.856415 t=12045
sheo1 zhy4 	設置	c=7 d=1.75175 t=12045
sheo1 zhy4 leo1 	設置了	c=1 d=0.0330412 t=12045
sheo2 ji1 	涉及	c=1 d=0.119433 t=12045
sheo4 hui4 	社會	c=1 d=0.227638 t=12045
sheo4 hui4 yi1 xuo2 	社會醫學	c=1 d=0.319819 t=12045
sheo4 sian4 	射線	c=1 d=0.748264 t=12045
shou1 fa1 	收發	c=1 d=0.102797 t=12045
shou1 huai2 	收獲	c=0 d=0.00227089 t=12045
shou1 lu1 	收錄	c=1 d=0.834843 t=12045
shou1 rhu1 	收入	c=1 d=0.164474 t=12045
shou1 shy2 	收拾	c=2 d=0.0968733 t=12045
shou1 zi1 	收集	c=1 d=0.238115 t=12045
shou1 zu3 	收租	c=2 d=0.51082 t=12045
shou3 	首	c=1 d=0.000547581 t=12045
shou3 biau3 	手錶	c=1 d=0.923116 t=12045
shou3 dung4 	手動	c=1 d=0.612626 t=12045
shou3 fa1 	首發	c=2 d=0.239523 t=12045
shou3 ji1 	手機	c=1 d=0.00292342 t=12045
shou3 kuai4 	手快	c=1 d=0.343009 t=12045
shou3 li3 	手裏	c=1 d=0.559898 t=12045
shou3 shang4 	手上	c=1 d=0.304221 t=12045
shou3 sian1 	首先	c=2 d=0.486757 t=12045
shou3 siuan3 	首選	c=1 d=0.109154 t=12045
shou3 tuo1 	手託	c=2 d=0.135775 t=12045
shou3 wan4 	手腕	c=1 d=0.00585769 t=12045
shou3 xing2 	手形	c=3 d=1.40716 t=12045
shou3 zhy3 	手指	c=3 d=0.99005 t=12045
shou4 dau4 	受到	c=1 d=0.19398 t=12045
shou4 shan4 tai2 cian2 yun2 wu4 qi3 	受禪臺前雲霧起	c=1 d=0.955997 t=12045
shou4 shang1 	受傷	c=1 d=0.000305061 t=12045
shou4 ti3 	受體	c=9 d=3.10518 t=12045
shu1 	書	c=4 d=1.48506 t=12045
shu1 ben3 	書本	c=1 d=0.00557201 t=12045
shu1 fu1 	舒服	c=1 d=0.257947 t=12045
shu1 gui4 	書櫃	c=1 d=0.690734 t=12045
shu1 hang2 	書行	c=-1 d=0 t=12045
shu1 rhu1 	輸入	c=8 d=0.847894 t=12045
shu1 rhu1 fa1 	輸入法	c=4 d=1.76683 t=12045
shu1 shang4 	書上	c=2 d=0.000673718 t=12045
shu2 	屬	c=1 d=0.382893 t=12045
shu2 	述	c=0 d=7.8703e-08 t=12045
shu2 si1 	熟悉	c=2 d=1.23957 t=12045
shu2 sing4 	屬性	c=2 d=0.559141 t=12045
shu2 yu1 	屬於	c=4 d=1.39229 t=12045
shu2 yu3 	術語	c=1 d=0.17552 t=12045
shu3 	數	c=1 d=0.0395575 t=12045
shu3 ja3 	暑假	c=1 d=0.687289 t=12045
shu3 ju4 	數據	c=5 d=1.7744 t=12045
shu3 liang2 	數量	c=2 d=1.29809 t=12045
shu4 tu2 zhuang4 si4 bau1 	樹突狀細胞	c=4 d=1.12909 t=12045
shua1 tou2 	刷頭	c=1 d=0.937067 t=12045
shua1 ya2 	刷牙	c=2 d=0.9923 t=12045
shuai3 dau4 	甩到	c=1 d=0.131994 t=12045
shuang1 	雙	c=1 d=0.194575 t=12045
shuang1 che1 	雙側	c=1 d=0.683861 t=12045
shuang1 chung2 	雙重	c=0 d=0.0680451 t=12045
shuang1 chung2 shy1 bie2 	雙重識別	c=1 d=0.683861 t=12045
shuang1 kung1 ge1 	雙空格	c=2 d=0.608473 t=12045
shuang1 lian2 	雙鏈	c=5 d=1.17829 t=12045
shuang1 luo2 siuan2 	雙螺旋	c=0 d=0.0035437 t=12045
shuang1 luo2 siuan2 lian2 	雙螺旋鏈	c=1 d=0.0356146 t=12045
shuang1 xang4 	雙向	c=2 d=0.146702 t=12045
shuang1 xang4 fu1 zhy4 	雙向複製	c=2 d=0.332232 t=12045
shuang1 xi4 tung3 	雙系統	c=1 d=0.932394 t=12045
shuang1 yang2 sing4 	雙陽性	c=1 d=1.06835 t=12045
shuang1 yang2 sing4 jai1 duan4 	雙陽性階段	c=1 d=0.946485 t=12045
shuang1 yang2 sing4 si4 bau1 	雙陽性細胞	c=1 d=0.965605 t=12045
shuang1 yin1 sing4 	雙陰性	c=1 d=1.07481 t=12045
shuang1 yin1 sing4 jai1 duan4 	雙陰性階段	c=1 d=1 t=12045
shuang1 yin1 sing4 si4 bau1 	雙陰性細胞	c=1 d=0.941765 t=12045
shui2 	誰	c=3 d=0.00450041 t=12045
shui3 je3 	水解	c=3 d=0.430034 t=12045
shui3 je3 pian4 duan4 	水解片段	c=1 d=0.357007 t=12045
shui3 ping2 	水平	c=2 d=0.453845 t=12045
shun4 bian4 	順便	c=1 d=0.0459593 t=12045
shun4 liou2 el2 xa4 	順流而下	c=1 d=0.114178 t=12045
shun4 shy1 zuo1 yung4 	順式作用	c=0 d=0.0394554 t=12045
shun4 shy1 zuo1 yung4 yuan2 jan4 	順式作用元件	c=2 d=0.82609 t=12045
shun4 siu4 	順序	c=6 d=0.587779 t=12045
shun4 zhuo2 	順着	c=1 d=0.0450492 t=12045
shuo1 	數	c=0 d=0.0120314 t=12045
shuo1 	說	c=18 d=1.21641 t=12045
shuo1 bu1 ding4 	說不定	c=2 d=0.877567 t=12045
shuo1 cing1 chu3 	說清楚	c=1 d=0.786628 t=12045
shuo1 de1 	說得	c=2 d=0.0297478 t=12045
shuo1 duan3 	縮短	c=0 d=0.0379083 t=12045
shuo1 duan3 leo1 	縮短了	c=1 d=0.380983 t=12045
shuo1 geo4 	說個	c=1 d=0.955997 t=12045
shuo1 guo1 	說過	c=2 d=0.249075 t=12045
shuo1 heo2 	縮合	c=0 d=0.0960789 t=12045
shuo1 heo2 wu1 	縮合物	c=1 d=0.965605 t=12045
shuo1 hua4 	說話	c=1 d=0.00323088 t=12045
shuo1 ju4 	數據	c=16 d=2.54721 t=12045
shuo1 le1 	說的	c=4 d=0.128967 t=12045
shuo1 le1 sha4 	說的啥	c=1 d=0.0898153 t=12045
shuo1 le1 shy4 	說的是	c=3 d=0.794534 t=12045
shuo1 liang2 	數量	c=0 d=0.110503 t=12045
shuo1 liang2 bu1 deng3 	數量不等	c=1 d=0.802519 t=12045
shuo1 liang2 zhung1 duo1 	數量衆多	c=1 d=0.744532 t=12045
shuo1 liau3 	說了	c=4 d=0.85348 t=12045
shuo1 ming2 	說明	c=3 d=0.814802 t=12045
shuo1 sha4 	說啥	c=2 d=0.714109 t=12045
shuo1 shuo1 	說說	c=2 d=0.484325 t=12045
shuo1 wan2 	說完	c=0 d=0.000603608 t=12045
shuo1 wan2 liau3 	說完了	c=1 d=0.00606634 t=12045
shuo1 xa4 qu4 	說下去	c=1 d=0.436049 t=12045
shuo1 xue1 	嗽血	c=-1 d=0 t=12045
shuo1 xuo2 	數學	c=6 d=1.31038 t=12045
shuo1 yi1 xa4 	說一下	c=1 d=0.0599047 t=12045
shuo2 shy4 	碩士	c=1 d=0.0170774 t=12045
shuo3 	所	c=6 d=0.904837 t=12045
shuo3 cai3 yung4 	所採用	c=1 d=8.31529e-07 t=12045
shuo3 chan3 sheng1 	所產生	c=2 d=0.333582 t=12045
shuo3 li3 	所裏	c=1 d=0.965605 t=12045
shuo3 liou2 	所流	c=-1 d=0 t=12045
shuo3 shy1 bie2 	所識別	c=1 d=0.472367 t=12045
shuo3 shy4 	所示	c=1 d=1.22815e-06 t=12045
shuo3 siu1 	所需	c=1 d=0.540641 t=12045
shuo3 siu1 yau1 	所需要	c=1 d=0.444858 t=12045
shuo3 yi3 	所以	c=8 d=0.9006 t=12045
shuo3 you3 	所有	c=2 d=0.790571 t=12045
shuo3 zai4 	所在	c=1 d=0.0253494 t=12045
shuo3 zhang3 	所長	c=2 d=0.00959474 t=12045
shuo3 zhy3 	所指	c=1 d=0.364219 t=12045
shuo3 zu3 cheng2 	所組成	c=1 d=0.985112 t=12045
shy1 bie2 	識別	c=15 d=4.43724 t=12045
shy1 bie2 bu4 wui4 	識別部位	c=1 d=0.10435 t=12045
shy1 bie2 kang2 yuan2 	識別抗原	c=1 d=0.136695 t=12045
shy1 dang1 	適當	c=2 d=0.865143 t=12045
shy1 heo2 	適合	c=0 d=0.0202909 t=12045
shy1 pin2 	視頻	c=13 d=0.895616 t=12045
shy1 qu4 	失去	c=1 d=0.128735 t=12045
shy1 wun2 	詩文	c=1 d=0.0017555 t=12045
shy1 ying1 	適應	c=1 d=0.438235 t=12045
shy1 ying1 sing4 	適應性	c=0 d=0.0405453 t=12045
shy1 ying1 sing4 mian3 yi1 ying1 da1 	適應性免疫應答	c=4 d=1.44577 t=12045
shy1 ying1 sing4 ti3 yi2 mian3 yi1 	適應性體液免疫	c=1 d=0.373439 t=12045
shy1 ying1 sing4 tiau2 zie1 sing4 	適應性調節性	c=2 d=0.477758 t=12045
shy1 zie3 	師姐	c=1 d=0.782705 t=12045
shy2 bu1 shy2 	時不時	c=1 d=0.0150707 t=12045
shy2 da3 shy2 	實打實	c=1 d=0.0162445 t=12045
shy2 dai4 	時代	c=1 d=0.141564 t=12045
shy2 el4 	十二	c=1 d=0.00680566 t=12045
shy2 hou4 	時候	c=27 d=2.58718 t=12045
shy2 jan1 	時間	c=8 d=0.953876 t=12045
shy2 jan1 chang2 	時間長	c=1 d=0.00591656 t=12045
shy2 lai2 tian1 	十來天	c=1 d=0.167797 t=12045
shy2 li1 	實力	c=1 d=0.187308 t=12045
shy2 shuo1 	時說	c=-1 d=0 t=12045
shy2 shy1 	實施	c=1 d=0.985112 t=12045
shy2 shy2 	實時	c=0 d=0.0951229 t=12045
shy2 shy2 piau4 fang2 	實時票房	c=5 d=3.00917 t=12045
shy2 siu4 	時序	c=1 d=0.530397 t=12045
shy2 siu4 sing4 	時序性	c=1 d=0.40657 t=12045
shy2 tang2 	食堂	c=1 d=0.000415927 t=12045
shy2 tou2 cheng2 xa4 wu2 buo1 tau1 	石頭城下無波濤	c=1 d=0.960789 t=12045
shy2 xan4 	實現	c=3 d=2.28022 t=12045
shy2 yan4 	實驗	c=7 d=0.96757 t=12045
shy2 yan4 shy2 	實驗室	c=1 d=0.571209 t=12045
shy2 yi1 dian3 	十一點	c=1 d=0.677057 t=12045
shy2 yi1 dian3 ban4 	十一點半	c=1 d=0.71177 t=12045
shy2 yi1 geo4 	十一個	c=-1 d=0 t=12045
shy2 zai4 	實在	c=1 d=0.316637 t=12045
shy2 zhy3 	食指	c=2 d=0.1764 t=12045
shy2 zi4 	實際	c=4 d=0.757968 t=12045
shy3 	使	c=5 d=0.990644 t=12045
shy3 bu1 zhuo2 	使不着	c=1 d=0.00814786 t=12045
shy3 de1 	使得	c=1 d=0.494109 t=12045
shy3 di4 wun2 sy1 	史蒂文斯	c=1 d=0.551563 t=12045
shy3 qi2 	使其	c=0 d=0.0343009 t=12045
shy3 qi2 cheng2 wui2 	使其成爲	c=1 d=0.344728 t=12045
shy3 yung4 	使用	c=7 d=0.982727 t=12045
shy3 yung4 shang4 	使用上	c=1 d=0.00139481 t=12045
shy3 zhung1 	始終	c=1 d=0.108067 t=12045
shy4 	是	c=167 d=5.04105 t=12045
shy4 ba1 	是吧	c=1 d=0.149569 t=12045
shy4 bu1 shy4 	是不是	c=12 d=3.82077 t=12045
shy4 chang2 ying2 siau1 	市場營銷	c=1 d=0.232236 t=12045
shy4 ciung2 	是從	c=2 d=0.680451 t=12045
shy4 dai4 	世代	c=0 d=0.0177284 t=12045
shy4 dian3 	試點	c=1 d=0.733447 t=12045
shy4 el2 	事兒	c=2 d=0.447043 t=12045
shy4 fu3 	是否	c=8 d=1.00462 t=12045
shy4 geo4 	是個	c=1 d=0.384812 t=12045
shy4 guo1 	試過	c=1 d=0.865022 t=12045
shy4 jan3 sing4 li1 si4 bau1 	嗜鹼性粒細胞	c=1 d=0.0492917 t=12045
shy4 jan4 	事件	c=0 d=0.0695303 t=12045
shy4 juan3 	試卷	c=1 d=0.362402 t=12045
shy4 li1 ja4 	士力架	c=2 d=1.06081 t=12045
shy4 li3 	市裏	c=2 d=0.967719 t=12045
shy4 ni3 	是你	c=1 d=0.0464212 t=12045
shy4 sha4 	是啥	c=4 d=0.424038 t=12045
shy4 shei2 	是誰	c=1 d=0.00504176 t=12045
shy4 shuo1 	是說	c=1 d=0.594521 t=12045
shy4 shy4 	試試	c=2 d=0.37044 t=12045
shy4 sian1 	事先	c=1 d=0.759572 t=12045
shy4 suan1 sing4 li1 si4 bau1 	嗜酸性粒細胞	c=1 d=0.618783 t=12045
shy4 wo3 	是我	c=2 d=0.101297 t=12045
shy4 yan4 	試驗	c=1 d=0.323033 t=12045
shy4 yi1 duan4 	是一段	c=2 d=0.663919 t=12045
shy4 yi1 geo4 	是一個	c=1 d=0.514274 t=12045
shy4 yi1 zhung3 	是一種	c=1 d=0.666977 t=12045
shy4 you2 	是由	c=1 d=0.158817 t=12045
shy4 you3 	是有	c=2 d=0.285904 t=12045
shy4 yung4 	是用	c=2 d=0.891366 t=12045
shy4 yung4 	試用	c=4 d=2.24049 t=12045
shy4 zai4 	是在	c=7 d=0.847381 t=12045
shy4 zhy3 	是指	c=9 d=0.971419 t=12045
si1 bei1 	西北	c=2 d=1.66242 t=12045
si1 feng1 	西風	c=1 d=0.00240549 t=12045
si1 nan2 	西南	c=1 d=0.767206 t=12045
si2 guan4 	習慣	c=1 d=0.105928 t=12045
si2 jin4 ping2 	習近平	c=1 d=0.396531 t=12045
si3 juo1 	洗腳	c=1 d=0.0175975 t=12045
si3 lian3 	洗臉	c=1 d=0.0977834 t=12045
si3 liau3 	洗了	c=1 d=1.86469e-07 t=12045
si3 shou3 	洗手	c=1 d=0.13466 t=12045
si3 zau3 	洗澡	c=3 d=1.10361 t=12045
si4 bau1 	細胞	c=126 d=18.9472 t=12045
si4 bau1 biau3 mian4 	細胞表面	c=1 d=0.302903 t=12045
si4 bau1 biau3 mian4 biau1 ji4 	細胞表面標記	c=1 d=0.472367 t=12045
si4 bau1 biau3 mian4 fen1 zy3 	細胞表面分子	c=1 d=0.532592 t=12045
si4 bau1 du2 sing4 	細胞毒性	c=1 d=0.217621 t=12045
si4 bau1 du2 zuo1 yung4 	細胞毒作用	c=2 d=0.345691 t=12045
si4 bau1 fen1 hua4 	細胞分化	c=1 d=0.366045 t=12045
si4 bau1 fen1 lie1 	細胞分裂	c=1 d=0.0490458 t=12045
si4 bau1 gung1 neng2 	細胞功能	c=2 d=0.628543 t=12045
si4 bau1 he2 	細胞核	c=1 d=0.631284 t=12045
si4 bau1 huo2 hua4 	細胞活化	c=1 d=0.178173 t=12045
si4 bau1 jan4 	細胞間	c=1 d=0.631284 t=12045
si4 bau1 ke1 liung2 	細胞克隆	c=1 d=0.818731 t=12045
si4 bau1 mian3 yi1 	細胞免疫	c=1 d=0.198891 t=12045
si4 bau1 muo2 	細胞膜	c=3 d=0.733447 t=12045
si4 bau1 nian2 fu4 fen1 zy3 	細胞黏附分子	c=1 d=0.618783 t=12045
si4 bau1 wai4 ji1 zhy1 	細胞外基質	c=2 d=0.928707 t=12045
si4 bau1 yin1 zy3 	細胞因子	c=12 d=1.91151 t=12045
si4 bau1 yin1 zy3 shou4 ti3 	細胞因子受體	c=3 d=1.37075 t=12045
si4 bau1 ying1 da1 	細胞應答	c=1 d=0.283654 t=12045
si4 bau1 zhou1 qi2 	細胞週期	c=1 d=0.436049 t=12045
si4 bau1 zhy1 	細胞質	c=2 d=1.26229 t=12045
si4 bau1 zie1 zhu1 	細胞接觸	c=2 d=0.54921 t=12045
si4 jun4 	細菌	c=0 d=0.00483156 t=12045
si4 jun4 zuo1 yung4 	細菌作用	c=1 d=0.0485578 t=12045
si4 yin1 	細音	c=2 d=1.23795 t=12045
si4 zie1 	細節	c=2 d=0.0227232 t=12045
sian1 	先	c=6 d=0.955997 t=12045
sian1 an4 	酰胺	c=0 d=0.00550589 t=12045
sian1 ciu3 jing1 zhou1 hou4 ciu3 chuan1 	先取荊州後取川	c=1 d=0.891366 t=12045
sian1 da4 hou4 siau3 	先大後小	c=1 d=0.402524 t=12045
sian1 hou4 	先後	c=1 d=0.0963276 t=12045
sian1 vi3 si4 bau1 	纖維細胞	c=0 d=0.0315058 t=12045
sian1 yau1 	先要	c=0 d=0.033454 t=12045
sian1 yau1 you3 	先要有	c=1 d=0.336216 t=12045
sian1 yung4 	先用	c=1 d=8.61148e-07 t=12045
sian4 	線	c=0 d=0.0479505 t=12045
sian4 piau1 ling2 	腺嘌呤	c=0 d=0.00293049 t=12045
sian4 sing4 	線性	c=2 d=0.157207 t=12045
siang1 bi3 	相比	c=3 d=0.323033 t=12045
siang1 deng3 	相等	c=2 d=0.902147 t=12045
siang1 dui4 	相對	c=2 d=0.847894 t=12045
siang1 dui4 ying1 	相對應	c=2 d=1.47454 t=12045
siang1 fan1 	相反	c=2 d=0.472367 t=12045
siang1 guan1 	相關	c=4 d=0.995012 t=12045
siang1 guan1 ji1 yin1 	相關基因	c=3 d=1.97531 t=12045
siang1 guan1 sing4 	相關性	c=1 d=0.177284 t=12045
siang1 guan1 zi2 yin4 	相關輯印	c=-1 d=0 t=12045
siang1 hu3 	相互	c=1 d=0.065333 t=12045
siang1 hu3 lian2 zie1 	相互連接	c=1 d=0.283654 t=12045
siang1 hu3 zie1 zhu1 	相互接觸	c=1 d=0.650509 t=12045
siang1 hu3 zuo1 yung4 	相互作用	c=1 d=0.927743 t=12045
siang1 je1 heo2 	相結合	c=1 d=0.15259 t=12045
siang1 sy4 	相似	c=2 d=0.895834 t=12045
siang1 tung2 	相同	c=2 d=1 t=12045
siang1 ya3 	湘雅	c=1 d=0.265803 t=12045
siang1 ying1 	相應	c=5 d=1.63076 t=12045
siang1 yung2 sing4 	相容性	c=0 d=0.0927743 t=12045
siang2 du2 	詳讀	c=1 d=0.748264 t=12045
siang2 si4 	詳細	c=2 d=0.740818 t=12045
siang3 	想	c=8 d=0.955087 t=12045
siang3 bu1 qi3 	想不起	c=1 d=0.543351 t=12045
siang3 bu1 siang3 	想不想	c=1 d=0.0898153 t=12045
siang3 chy1 	想吃	c=1 d=0.00247875 t=12045
siang3 dau4 	想到	c=2 d=1.15982 t=12045
siang3 fa1 	想法	c=7 d=0.444667 t=12045
siang3 geo4 	想個	c=1 d=0.65377 t=12045
siang3 guo1 	想過	c=0 d=0.0285076 t=12045
siang3 guo1 leo1 	想過了	c=1 d=0.286505 t=12045
siang3 qi3 	想起	c=2 d=0.752014 t=12045
siang3 qi3 lai2 	想起來	c=0 d=0.00125254 t=12045
siang3 shuo1 	想說	c=1 d=0.000863083 t=12045
siang3 siang3 	想想	c=6 d=1.04862 t=12045
siang3 tai4 duo1 	想太多	c=2 d=0.546029 t=12045
siang3 yau1 	想要	c=2 d=0.481948 t=12045
siang3 zhuo2 	想着	c=1 d=0.839457 t=12045
siang4 	像	c=2 d=0.503994 t=12045
siang4 	相	c=1 d=0.369723 t=12045
siang4 bu1 siang4 	像不像	c=1 d=0.628135 t=12045
siang4 hui2 shy4 el2 	像回事兒	c=1 d=0.217621 t=12045
siang4 lui4 sy4 	相類似	c=1 d=8.48327e-07 t=12045
siang4 pin1 	相拼	c=2 d=0.415157 t=12045
siang4 shy4 	像是	c=1 d=0.458406 t=12045
siau1 chu2 	消除	c=1 d=0.202909 t=12045
siau1 hua4 	消化	c=1 d=0.120032 t=12045
siau1 hua4 dau4 	消化道	c=1 d=0.458406 t=12045
siau1 sa3 	瀟灑	c=1 d=0.20089 t=12045
siau1 shy1 	消失	c=1 d=0.527292 t=12045
siau3 	小	c=13 d=1.81591 t=12045
siau3 ban3 deng4 	小板凳	c=1 d=0.0629761 t=12045
siau3 chang2 	小腸	c=1 d=0.97531 t=12045
siau3 fen1 zy3 	小分子	c=1 d=0.191092 t=12045
siau3 hai2 el2 	小孩兒	c=1 d=0.13332 t=12045
siau3 le1 	小的	c=1 d=0.0515605 t=12045
siau3 ma3 	小碼	c=3 d=0.00231198 t=12045
siau3 niou2 	小牛	c=3 d=1.56122 t=12045
siau3 shu3 	小鼠	c=7 d=2.34067 t=12045
siau3 shuo1 dian3 	小數點	c=2 d=0.382351 t=12045
siau3 shy2 	小時	c=2 d=0.66365 t=12045
siau3 shy2 hou4 	小時候	c=1 d=0.501576 t=12045
siau3 xuo2 	小學	c=1 d=0.0426384 t=12045
sie2 liu1 	斜率	c=1 d=0.00016826 t=12045
sie2 yan3 	斜眼	c=1 d=0.000285862 t=12045
sie3 	寫	c=7 d=0.856415 t=12045
sie3 ba1 	寫吧	c=1 d=0.615697 t=12045
sie3 chu1 lai2 	寫出來	c=1 d=0.0146253 t=12045
sie3 de1 	寫得	c=1 d=0.0118551 t=12045
sie3 guo1 	寫過	c=1 d=0.238115 t=12045
sie3 le1 	寫的	c=3 d=0.330284 t=12045
sie3 le1 you3 	寫的有	c=1 d=0.0366992 t=12045
sie3 leo1 	寫了	c=1 d=0.000319102 t=12045
sie3 zhuo2 	寫着	c=1 d=0.283654 t=12045
sie4 	謝	c=0 d=0.0995012 t=12045
sie4 sie4 	謝謝	c=2 d=0.382129 t=12045
sie4 yuan2 chen2 	謝元辰	c=1 d=1 t=12045
sin1 	新	c=5 d=1.84416 t=12045
sin1 fang2 	新房	c=1 d=0.402524 t=12045
sin1 heo2 cheng2 	新合成	c=1 d=0.740818 t=12045
sin1 jin4 	新近	c=1 d=0.574072 t=12045
sin1 le1 	新的	c=1 d=0.138761 t=12045
sin1 lian2 	新鏈	c=3 d=0.970446 t=12045
sin1 qi4 zi2 	辛棄疾	c=3 d=0.718872 t=12045
sin1 sai4 ji4 	新賽季	c=1 d=0.0837432 t=12045
sin1 tou2 ling3 	新頭領	c=1 d=0.677057 t=12045
sin1 wun2 	新聞	c=2 d=0.934878 t=12045
sin4 hau4 	信號	c=4 d=1.03446 t=12045
sin4 hau4 fen1 zy3 	信號分子	c=1 d=0.292293 t=12045
sin4 si1 	信息	c=3 d=0.440058 t=12045
sin4 yang2 	信陽	c=1 d=0.0997588 t=12045
sing1 chen2 	星辰	c=1 d=0.0987662 t=12045
sing1 xing2 	星形	c=0 d=0.0479505 t=12045
sing1 xing2 sian4 	星形線	c=1 d=0.481909 t=12045
sing3 lai2 	醒來	c=1 d=0.951229 t=12045
sing4 	性	c=2 d=0.706725 t=12045
sing4 ji1 su4 	性激素	c=1 d=0.0862936 t=12045
sing4 zhy1 	性質	c=3 d=1.09753 t=12045
siou1 fu2 	修復	c=4 d=0.645379 t=12045
siou1 fu2 ji1 zhy4 	修復機制	c=1 d=0.25924 t=12045
siou1 gai3 	修改	c=5 d=1.24921 t=12045
siou1 shy1 	修飾	c=1 d=0.313533 t=12045
siou1 shy1 liu1 	修飾率	c=1 d=0.0409665 t=12045
siu1 yau1 	需要	c=17 d=1.74702 t=12045
siu1 yau1 yung4 	需要用	c=1 d=0.0281559 t=12045
siu2 fi4 	續費	c=1 d=0.946485 t=12045
siu4 	序	c=0 d=0.127725 t=12045
siu4 lie1 	序列	c=18 d=4.16485 t=12045
siu4 shu2 	敘述	c=2 d=0.711836 t=12045
siuan1 zhuan4 	宣傳	c=-1 d=0 t=12045
siuan2 zhuan3 	旋轉	c=3 d=1.37802 t=12045
siuan2 zhuan3 mei2 	旋轉酶	c=1 d=0.0875977 t=12045
siuan2 zhuan3 ti3 	旋轉體	c=1 d=0.442639 t=12045
siuan3 	選	c=1 d=0.0231676 t=12045
siuan3 ciu3 	選取	c=1 d=0.008271 t=12045
siuan3 zhe2 	選擇	c=4 d=1.87435 t=12045
siuan3 zhe2 gung1 neng2 	選擇功能	c=1 d=0.246597 t=12045
siuan3 zhe2 sing4 	選擇性	c=2 d=0.482966 t=12045
siun2 huan2 	循環	c=0 d=0.0802519 t=12045
siun2 huan2 wang3 fu2 	循環往復	c=1 d=0.0699482 t=12045
siun2 sheng1 	尋聲	c=-1 d=0 t=12045
siun3 shang1 	損傷	c=7 d=1.43587 t=12045
siun3 shy1 	損失	c=1 d=0.460704 t=12045
siun4 su1 	迅速	c=2 d=0.414783 t=12045
sou1 sou1 	搜搜	c=1 d=0.154896 t=12045
sou1 suo1 	搜索	c=1 d=0.891366 t=12045
su1 bei1 	蘇北	c=3 d=2.14845 t=12045
su1 du4 	速度	c=2 d=0.722527 t=12045
su1 nan2 	蘇南	c=1 d=0.88692 t=12045
su1 zhan4 su1 jue1 	速戰速決	c=1 d=1 t=12045
su4 	素	c=1 d=0.927151 t=12045
suan1 sing4 	酸性	c=1 d=0.0407622 t=12045
suan4 	算	c=5 d=0.819013 t=12045
suan4 chu1 	算出	c=3 d=0.29805 t=12045
suan4 chu1 lai2 	算出來	c=1 d=0.683861 t=12045
suan4 le1 	算的	c=2 d=0.182402 t=12045
suan4 liau3 	算了	c=2 d=0.432484 t=12045
suan4 shang4 	算上	c=1 d=0.0205478 t=12045
suan4 shy1 	算式	c=1 d=0.142274 t=12045
sui1 rhan3 	雖然	c=3 d=0.42795 t=12045
sui2 	隨	c=1 d=0.177284 t=12045
sui2 bian4 	隨便	c=3 d=0.782838 t=12045
sui4 	歲	c=3 d=1.00354 t=12045
sui4 pian4 	碎片	c=1 d=0.241714 t=12045
sun1 jan1 sun1 che1 qi3 jang1 zuo3 	孫堅孫策起江左	c=1 d=0.814647 t=12045
sun1 zheng1 cai2 	孫徵才	c=-1 d=0 t=12045
sun1 zheng4 cai2 	孫政才	c=1 d=0.0146253 t=12045
sung1 kai1 	鬆開	c=1 d=0.122456 t=12045
sung4 chau2 	宋朝	c=1 d=0.216536 t=12045
sung4 qi4 	送氣	c=1 d=0.360595 t=12045
suo1 sing4 	索性	c=1 d=0.268474 t=12045
sy1 an1 suan1 	絲氨酸	c=0 d=0.00944202 t=12045
sy1 an1 suan1 dan4 be2 mei2 	絲氨酸蛋白酶	c=1 d=0.0948935 t=12045
sy1 de1 geo3 el3 muo2 	斯德哥爾摩	c=1 d=0.0963276 t=12045
sy1 huo2 	私活	c=0 d=0.0606531 t=12045
sy1 huo2 el2 	私活兒	c=1 d=0.609571 t=12045
sy1 lie1 yuan2 	絲裂原	c=1 d=0.160414 t=12045
sy1 lu4 	思路	c=1 d=0.373439 t=12045
sy1 ma3 you4 ziang1 tian1 xa4 jau1 	司馬又將天下交	c=1 d=0.951229 t=12045
sy1 wa1 	絲襪	c=1 d=1 t=12045
sy1 wui3 	思維	c=1 d=0.103312 t=12045
sy1 yuan2 	思源	c=0 d=0.00320647 t=12045
sy1 yuan2 he1 ti3 	思源黑體	c=1 d=0.0322254 t=12045
sy3 leo1 	死了	c=1 d=0.0239928 t=12045
sy4 	似	c=1 d=0.0356146 t=12045
sy4 dian3 	四點	c=2 d=0.83527 t=12045
